id,emotion,visual,space,tags,caption
218,lively,bright,compact,"lively, bright, compact","upbeat celebratory setting, airy luminous interior, small intimate area, home party interior, indoor gathering space"
219,lively,bright,compact,"lively, bright, compact","upbeat celebratory setting, airy luminous interior, small intimate area, home party interior, indoor gathering space"
220,cozy,cool,compact,"cozy, cool, compact","comfortable homey feel, cool-toned blue lighting, small intimate area, home party interior, indoor gathering space"
221,lively,bright,spacious,"lively, bright, spacious","lively and energetic vibe, clear high-key lighting, wide open party space, home party interior, indoor gathering space"
222,chic,bright,spacious,"chic, bright, spacious","chic and stylish aesthetic, airy luminous interior, spacious open layout, home party interior, indoor gathering space"
223,chic,warm,private,"chic, warm, private","chic and stylish aesthetic, soft warm-toned glow, private secluded party room, home party interior, indoor gathering space"
224,cozy,bright,spacious,"cozy, bright, spacious","cozy atmosphere, bright and well-lit space, spacious open layout, home party interior, indoor gathering space"
225,chic,cool,private,"chic, cool, private","chic and stylish aesthetic, icy blue-white ambiance, private secluded party room, home party interior, indoor gathering space"
226,chic,bright,spacious,"chic, bright, spacious","sophisticated and elegant design, bright and well-lit space, expansive roomy interior, home party interior, indoor gathering space"
227,cozy,bright,spacious,"cozy, bright, spacious","cozy atmosphere, clear high-key lighting, spacious open layout, home party interior, indoor gathering space"
228,lively,dark,spacious,"lively, dark, spacious","upbeat celebratory setting, shadowy intimate lighting, expansive roomy interior, home party interior, indoor gathering space"
229,chic,bright,private,"chic, bright, private","refined modern atmosphere, bright and well-lit space, exclusive private interior, home party interior, indoor gathering space"
230,lively,bright,private,"lively, bright, private","lively and energetic vibe, bright and well-lit space, intimate enclosed setting, home party interior, indoor gathering space"
231,lively,dark,spacious,"lively, dark, spacious","lively and energetic vibe, shadowy intimate lighting, spacious open layout, home party interior, indoor gathering space"
232,chic,bright,spacious,"chic, bright, spacious","refined modern atmosphere, clear high-key lighting, wide open party space, home party interior, indoor gathering space"
233,chic,bright,spacious,"chic, bright, spacious","sleek upscale interior, airy luminous interior, wide open party space, home party interior, indoor gathering space"
234,lively,bright,compact,"lively, bright, compact","vibrant party atmosphere, bright and well-lit space, enclosed snug setting, home party interior, indoor gathering space"
235,cozy,dark,private,"cozy, dark, private","warm and inviting ambiance, dim moody atmospheric lighting, exclusive private interior, home party interior, indoor gathering space"
236,lively,dark,compact,"lively, dark, compact","dynamic and festive energy, shadowy intimate lighting, enclosed snug setting, home party interior, indoor gathering space"
237,chic,bright,spacious,"chic, bright, spacious","chic and stylish aesthetic, clear high-key lighting, spacious open layout, home party interior, indoor gathering space"
238,chic,dark,private,"chic, dark, private","refined modern atmosphere, shadowy intimate lighting, intimate enclosed setting, home party interior, indoor gathering space"
239,cozy,warm,compact,"cozy, warm, compact","comfortable homey feel, warm golden lighting, enclosed snug setting, home party interior, indoor gathering space"
240,chic,cool,spacious,"chic, cool, spacious","refined modern atmosphere, cool-toned blue lighting, expansive roomy interior, home party interior, indoor gathering space"
241,cozy,warm,private,"cozy, warm, private","snug and relaxed interior, warm golden lighting, intimate enclosed setting, home party interior, indoor gathering space"
242,chic,warm,private,"chic, warm, private","refined modern atmosphere, soft warm-toned glow, intimate enclosed setting, home party interior, indoor gathering space"
243,cozy,cool,compact,"cozy, cool, compact","warm and inviting ambiance, crisp cool color palette, compact cozy gathering space, home party interior, indoor gathering space"
244,chic,cool,compact,"chic, cool, compact","refined modern atmosphere, icy blue-white ambiance, enclosed snug setting, home party interior, indoor gathering space"
245,cozy,cool,spacious,"cozy, cool, spacious","snug and relaxed interior, crisp cool color palette, expansive roomy interior, home party interior, indoor gathering space"
246,cozy,warm,spacious,"cozy, warm, spacious","comfortable homey feel, amber and orange warm tones, spacious open layout, home party interior, indoor gathering space"
247,chic,bright,spacious,"chic, bright, spacious","chic and stylish aesthetic, airy luminous interior, expansive roomy interior, home party interior, indoor gathering space"
248,cozy,warm,private,"cozy, warm, private","warm and inviting ambiance, amber and orange warm tones, exclusive private interior, home party interior, indoor gathering space"
249,cozy,cool,compact,"cozy, cool, compact","snug and relaxed interior, crisp cool color palette, compact cozy gathering space, home party interior, indoor gathering space"
250,chic,bright,spacious,"chic, bright, spacious","sleek upscale interior, airy luminous interior, spacious open layout, home party interior, indoor gathering space"
251,lively,bright,spacious,"lively, bright, spacious","upbeat celebratory setting, bright and well-lit space, expansive roomy interior, home party interior, indoor gathering space"
252,chic,bright,private,"chic, bright, private","refined modern atmosphere, airy luminous interior, intimate enclosed setting, home party interior, indoor gathering space"
253,chic,bright,spacious,"chic, bright, spacious","refined modern atmosphere, clear high-key lighting, spacious open layout, home party interior, indoor gathering space"
254,chic,cool,spacious,"chic, cool, spacious","sophisticated and elegant design, cool-toned blue lighting, spacious open layout, home party interior, indoor gathering space"
255,chic,warm,private,"chic, warm, private","sleek upscale interior, amber and orange warm tones, exclusive private interior, home party interior, indoor gathering space"
256,lively,bright,compact,"lively, bright, compact","vibrant party atmosphere, clear high-key lighting, small intimate area, home party interior, indoor gathering space"
257,chic,bright,spacious,"chic, bright, spacious","sleek upscale interior, airy luminous interior, spacious open layout, home party interior, indoor gathering space"
258,lively,bright,private,"lively, bright, private","lively and energetic vibe, airy luminous interior, private secluded party room, home party interior, indoor gathering space"
259,chic,dark,spacious,"chic, dark, spacious","sleek upscale interior, shadowy intimate lighting, spacious open layout, home party interior, indoor gathering space"
260,cozy,dark,private,"cozy, dark, private","comfortable homey feel, shadowy intimate lighting, exclusive private interior, home party interior, indoor gathering space"
261,cozy,warm,compact,"cozy, warm, compact","comfortable homey feel, amber and orange warm tones, enclosed snug setting, home party interior, indoor gathering space"
262,chic,dark,spacious,"chic, dark, spacious","refined modern atmosphere, dark low-key ambiance, wide open party space, home party interior, indoor gathering space"
263,chic,warm,private,"chic, warm, private","refined modern atmosphere, amber and orange warm tones, exclusive private interior, home party interior, indoor gathering space"
264,chic,bright,private,"chic, bright, private","sleek upscale interior, airy luminous interior, intimate enclosed setting, home party interior, indoor gathering space"
265,cozy,dark,private,"cozy, dark, private","comfortable homey feel, dim moody atmospheric lighting, private secluded party room, home party interior, indoor gathering space"
266,cozy,bright,private,"cozy, bright, private","warm and inviting ambiance, airy luminous interior, private secluded party room, home party interior, indoor gathering space"
267,cozy,bright,compact,"cozy, bright, compact","warm and inviting ambiance, bright and well-lit space, compact cozy gathering space, home party interior, indoor gathering space"
268,cozy,warm,spacious,"cozy, warm, spacious","snug and relaxed interior, amber and orange warm tones, wide open party space, home party interior, indoor gathering space"
269,chic,dark,private,"chic, dark, private","refined modern atmosphere, dim moody atmospheric lighting, private secluded party room, home party interior, indoor gathering space"
270,chic,dark,private,"chic, dark, private","refined modern atmosphere, dim moody atmospheric lighting, intimate enclosed setting, home party interior, indoor gathering space"
271,cozy,warm,private,"cozy, warm, private","warm and inviting ambiance, amber and orange warm tones, private secluded party room, home party interior, indoor gathering space"
272,chic,dark,spacious,"chic, dark, spacious","sophisticated and elegant design, dark low-key ambiance, spacious open layout, home party interior, indoor gathering space"
273,cozy,warm,private,"cozy, warm, private","cozy atmosphere, soft warm-toned glow, intimate enclosed setting, home party interior, indoor gathering space"
274,cozy,bright,private,"cozy, bright, private","warm and inviting ambiance, clear high-key lighting, intimate enclosed setting, home party interior, indoor gathering space"
275,cozy,bright,compact,"cozy, bright, compact","cozy atmosphere, bright and well-lit space, enclosed snug setting, home party interior, indoor gathering space"
276,chic,dark,private,"chic, dark, private","refined modern atmosphere, dark low-key ambiance, intimate enclosed setting, home party interior, indoor gathering space"
277,chic,dark,private,"chic, dark, private","sleek upscale interior, dark low-key ambiance, private secluded party room, home party interior, indoor gathering space"
278,cozy,bright,private,"cozy, bright, private","cozy atmosphere, airy luminous interior, intimate enclosed setting, home party interior, indoor gathering space"
279,cozy,warm,private,"cozy, warm, private","cozy atmosphere, warm golden lighting, intimate enclosed setting, home party interior, indoor gathering space"
280,lively,bright,private,"lively, bright, private","upbeat celebratory setting, bright and well-lit space, exclusive private interior, home party interior, indoor gathering space"
281,cozy,warm,private,"cozy, warm, private","cozy atmosphere, warm golden lighting, private secluded party room, home party interior, indoor gathering space"
282,chic,bright,private,"chic, bright, private","refined modern atmosphere, bright and well-lit space, private secluded party room, home party interior, indoor gathering space"
283,cozy,bright,private,"cozy, bright, private","cozy atmosphere, clear high-key lighting, intimate enclosed setting, home party interior, indoor gathering space"
284,chic,dark,private,"chic, dark, private","sophisticated and elegant design, shadowy intimate lighting, intimate enclosed setting, home party interior, indoor gathering space"
285,cozy,dark,compact,"cozy, dark, compact","snug and relaxed interior, dark low-key ambiance, small intimate area, home party interior, indoor gathering space"
286,lively,bright,compact,"lively, bright, compact","upbeat celebratory setting, airy luminous interior, enclosed snug setting, home party interior, indoor gathering space"
287,chic,cool,private,"chic, cool, private","chic and stylish aesthetic, icy blue-white ambiance, exclusive private interior, home party interior, indoor gathering space"
288,cozy,warm,spacious,"cozy, warm, spacious","cozy atmosphere, warm golden lighting, wide open party space, home party interior, indoor gathering space"
289,lively,bright,compact,"lively, bright, compact","vibrant party atmosphere, airy luminous interior, enclosed snug setting, home party interior, indoor gathering space"
290,cozy,cool,private,"cozy, cool, private","cozy atmosphere, cool-toned blue lighting, private secluded party room, home party interior, indoor gathering space"
291,chic,bright,spacious,"chic, bright, spacious","sophisticated and elegant design, clear high-key lighting, spacious open layout, home party interior, indoor gathering space"
292,cozy,dark,compact,"cozy, dark, compact","warm and inviting ambiance, dim moody atmospheric lighting, small intimate area, home party interior, indoor gathering space"
293,cozy,bright,spacious,"cozy, bright, spacious","snug and relaxed interior, clear high-key lighting, wide open party space, home party interior, indoor gathering space"
